						|
Armor	ChoiceOption	护甲+1		永久+1护甲		
Attack	ChoiceOption	攻击+1		永久+1攻击		
Attribute	Room	属性房		开局从属性道具卡加权抽2张（可重复）		
avatar.default	Avatar	战士			深入地下城的战士，渴望建功立业	
Boss	Room	层主房		层主战前缓冲图标：走格进入后推进至层主战		
deck.dragon	Deck	基础怪物卡组				
deck.help_archive	Deck	道具卡归档卡组		非策划现行道具卡（破击锤/血液转换/倍增塔/盾击教程/属性提升/庇佑/瞭望塔）参考保留；不参与奖池、道具来源池与房间注入接线。		
deck.help	Deck	道具卡组				
deck.insect	Deck	召唤怪物卡组				
deck.npc	Deck	NPC卡组				
deck.orc_legion	Deck	旋转怪物卡组 				
deck.player	Deck	玩家卡组				
deck.relic_archive	Deck	遗物归档卡组		错位旧遗物参考保留；不参与奖池与授予接线。		
deck.relic	Deck	遗物卡组				
deck.skeleton_legion	Deck	翻面怪物卡组				
deck.smallanimal	Deck	链接怪物卡组				
deck.stone_legion	Deck	烈焰怪物卡组				
deck.transition	Deck	怪物归档卡组		已归档（#134）：还原后的暂存怪物保留在此，全员 isReserve，不再参与正式遭遇抽卡；新怪物改挂正式七套卡组		
deck.trap	Deck	机关卡组				
deck.void	Deck	决斗怪物卡组				
deck.wandering_legion	Deck	动物牌组				
Elite	Room	困难房		开局抽2张奖励卡（不可重复）并注入序列3/4怪物		
ExpandItemCapacity	ChoiceOption	道具卡扩容		提高1点玩家侧卡组容量		
ExpandItemSlots	ChoiceOption	道具牌格升级		提高1点道具卡格容量		
FixItem	ChoiceOption	道具卡固定		固定生成一张选定的道具卡		
Fountain	Room	恢复房		开局加入食品卡		
GoDown	Room	下楼		场地导航图标：踏上前往下一层		
Gold	Room	金币房		开局加入金币卡		
GoUp	Room	上楼		场地导航图标：踏上前往上一层		
help.armor_breaking_hammer	HelpCard	破击锤	White	[使用时] 将目标怪物卡护甲降低{amount}点		tpl.help.armor_breaking_hammer.use|{"count":1,"amount":10,"cause":"help.armor_breaking_hammer"}
help.armor_card	HelpCard	头甲	Gold	基础[armor]+{help.armor_card.use.delta}	说明书第一页：别戴反	tpl.help.armor_card.use|{"delta":1,"reason":"help.armor_card"}
help.attack_card	HelpCard	皮质手套	Gold	基础[attack]+{help.attack_card.use.delta}	戴上后总想试试桌子结不结实	tpl.help.attack_card.use|{"delta":1,"reason":"help.attack_card"}
help.blood_conversion	HelpCard	血液转换	White	[使用时] 扣除{delta}点血量上限并随机获得攻击+{weight}、护甲+1、50金币或随机遗物		tpl.help.blood_conversion.use|{"delta":-5,"reason":"bloodConversion","weight":1,"action_actions_1_choices_0_action_delta":1,"action_actions_1_choices_0_action_reason":"bloodConversion.attack","action_actions_1_choices_1_action_delta":1,"action_actions_1_choices_1_action_reason":"bloodConversion.armor","action_actions_1_choices_2_action_delta":50,"action_actions_1_choices_2_action_reason":"bloodConversion.gold","poolId":"relic.blood_conversion"}
help.blue_chest_card	HelpCard	进阶宝箱	Gold	挑选并获取一个进阶的遗物	普通宝箱进修归来	tpl.shared.3.help_blue_chest_card_use|{"poolId":"relic.blue_chest"}
help.bomb	HelpCard	爆弹	White	对所有怪物造成{help.bomb.use.amount}点伤害	点着以后再看说明书就晚了	tpl.help.bomb.use|{"amount":4}
help.brutality_card	HelpCard	暴力	White	玩家下一次对怪物造成的普通攻击伤害翻倍	一天不吃，浑身难受	tpl.help.brutality_card.use|{"value":2,"source":"help.brutality_card","sourceAction":"DealDamage","excludeSourcePrefix":"help."}
help.common_chest_card	HelpCard	普通宝箱	Blue	挑选并获取一个普通的遗物	箱子外壳更加值钱	tpl.shared.3.help_blue_chest_card_use|{"poolId":"relic.common_chest"}
help.doubling_tower	HelpCard	倍增塔	Gold	[场上] 处于格1时，对怪物卡使用的帮助卡触发两次；[道具牌格] 对玩家卡使用的帮助卡生效两次，触发后永久移除本卡		tpl.help.doubling_tower.board_monster|{} ;; tpl.help.doubling_tower.item_player|{}
help.fireball	HelpCard	火球术	White	对选中怪物造成等同于玩家[attack]的伤害	法师把他开源了所以人人都会用	tpl.help.fireball.use|{"count":1,"source":"Player"}
help.food_card	HelpCard	生日蛋糕	White	将[HP]完整恢复	蜡烛数量已做隐私处理	tpl.help.food_card.use|{"source":"Player"}
help.gold_card	HelpCard	钱袋子	Blue	获取{help.gold_card.use.delta}[money]	听声音就让人安心	tpl.help.gold_card.use|{"delta":50,"reason":"goldCard"}
help.golden_chest_card	HelpCard	高级宝箱	Red	挑选并获取一个高级的遗物	昂贵的礼品	tpl.shared.3.help_blue_chest_card_use|{"poolId":"relic.golden_chest"}
help.healing_potion	HelpCard	恢复药水	White	恢复{help.healing_potion.use.amount}点[HP]	味道像药，至少这点很专业	tpl.heal_player_on_use_help_card|{"amount":10}
help.hp_card	HelpCard	金色三叶草	Gold	[MHP]+{help.hp_card.use.delta}	长生不老	tpl.help.hp_card.use|{"delta":2,"reason":"help.hp_card"}
help.impact_tutorial	HelpCard	撞击	White	对目标怪物造成等同于玩家当前[HP]的伤害	头铁也是一种装备	tpl.help.impact_tutorial.use|{"count":1,"source":"Player"}
help.kidnapping	HelpCard	绑票	White	破坏{help.kidnapping.use.count}张常规怪物，并偷取其[armor]	绳子是赠品	tpl.help.kidnapping.use|{"count":1,"cause":"help.kidnapping","reason":"help.kidnapping"}
help.rotation_wheel	HelpCard	旋转轮	White	逆时针旋转一次	给我回来！	tpl.help.rotation_wheel.use|{}
help.shield_bash_tutorial	HelpCard	盾击教程	Blue			tpl.help.shield_bash_tutorial.use|{"count":1,"source":"Player"}
help.stat_boost_card	HelpCard	属性提升	Gold	[使用时] 选择攻击+{delta}、护甲+1或血量上限与当前血量+2		tpl.help.stat_boost_card.use|{"option":"Attack","delta":1,"reason":"statBoost.attack","action_elseAction_condition_option":"Armor","action_elseAction_action_reason":"statBoost.armor","action_elseAction_elseAction_condition_option":"Hp","action_elseAction_elseAction_action_delta":2,"action_elseAction_elseAction_action_reason":"statBoost.hp"}
